date,precipitation_mm,temperature_c,snow_depth_cm,place
2015-01-01,0.7,-35.0,0.0,Rovaniemi
2015-01-02,0.6,-32.9,0.4,Rovaniemi
2015-01-03,0.0,-37.1,0.4,Rovaniemi
2015-01-04,0.0,-32.7,0.4,Rovaniemi
2015-01-05,0.4,-33.8,0.7,Rovaniemi
2015-01-06,0.0,-37.4,0.7,Rovaniemi
2015-01-07,0.9,-30.1,1.3,Rovaniemi
2015-01-08,1.4,-36.0,2.3,Rovaniemi
2015-01-09,0.0,-38.8,2.3,Rovaniemi
2015-01-10,0.0,-36.5,2.3,Rovaniemi
2015-01-11,1.1,-37.0,3.1,Rovaniemi
2015-01-12,3.4,-33.8,5.5,Rovaniemi
2015-01-13,0.0,-30.0,5.5,Rovaniemi
2015-01-14,0.0,-33.3,5.5,Rovaniemi
2015-01-15,0.0,-29.8,5.5,Rovaniemi
2015-01-16,0.6,-30.9,5.9,Rovaniemi
2015-01-17,0.0,-40.1,5.9,Rovaniemi
2015-01-18,2.8,-30.9,7.9,Rovaniemi
2015-01-19,0.4,-34.4,8.2,Rovaniemi
2015-01-20,0.0,-31.5,8.2,Rovaniemi
2015-01-21,0.0,-32.7,8.2,Rovaniemi
2015-01-22,0.0,-25.4,8.2,Rovaniemi
2015-01-23,0.0,-31.0,8.2,Rovaniemi
2015-01-24,0.0,-30.4,8.2,Rovaniemi
2015-01-25,0.0,-29.0,8.2,Rovaniemi
2015-01-26,0.4,-35.1,8.4,Rovaniemi
2015-01-27,0.0,-28.5,8.4,Rovaniemi
2015-01-28,0.0,-31.5,8.4,Rovaniemi
2015-01-29,1.0,-32.4,9.1,Rovaniemi
2015-01-30,4.0,-28.3,11.9,Rovaniemi
2015-01-31,0.2,-33.8,12.0,Rovaniemi
2015-02-01,0.0,-27.5,12.0,Rovaniemi
2015-02-02,0.0,-29.9,12.0,Rovaniemi
2015-02-03,2.7,-29.5,13.9,Rovaniemi
2015-02-04,0.9,-34.6,14.6,Rovaniemi
2015-02-05,0.2,-26.4,14.7,Rovaniemi
2015-02-06,1.5,-27.7,15.8,Rovaniemi
2015-02-07,2.4,-29.2,17.5,Rovaniemi
2015-02-08,0.5,-30.1,17.8,Rovaniemi
2015-02-09,0.2,-25.5,17.9,Rovaniemi
2015-02-10,0.3,-26.2,18.2,Rovaniemi
2015-02-11,0.0,-26.8,18.2,Rovaniemi
2015-02-12,0.2,-28.9,18.3,Rovaniemi
2015-02-13,0.2,-25.3,18.5,Rovaniemi
2015-02-14,1.9,-25.2,19.8,Rovaniemi
2015-02-15,0.1,-22.1,19.9,Rovaniemi
2015-02-16,0.0,-28.1,19.9,Rovaniemi
2015-02-17,0.0,-26.5,19.9,Rovaniemi
2015-02-18,0.3,-19.5,20.1,Rovaniemi
2015-02-19,0.0,-23.5,20.1,Rovaniemi
2015-02-20,0.2,-23.0,20.2,Rovaniemi
2015-02-21,0.0,-20.9,20.2,Rovaniemi
2015-02-22,0.0,-18.4,20.2,Rovaniemi
2015-02-23,0.1,-25.4,20.3,Rovaniemi
2015-02-24,0.0,-16.7,20.3,Rovaniemi
2015-02-25,3.4,-21.9,22.7,Rovaniemi
2015-02-26,0.0,-20.7,22.7,Rovaniemi
2015-02-27,1.4,-20.8,23.7,Rovaniemi
2015-02-28,0.0,-16.9,23.7,Rovaniemi
2015-03-01,1.7,-17.8,24.9,Rovaniemi
2015-03-02,0.1,-20.2,24.9,Rovaniemi
2015-03-03,1.7,-22.2,26.1,Rovaniemi
2015-03-04,0.6,-19.6,26.5,Rovaniemi
2015-03-05,0.0,-22.0,26.5,Rovaniemi
2015-03-06,0.0,-16.0,26.5,Rovaniemi
2015-03-07,0.0,-19.5,26.5,Rovaniemi
2015-03-08,1.0,-17.7,27.2,Rovaniemi
2015-03-09,0.0,-14.1,27.2,Rovaniemi
2015-03-10,0.0,-14.6,27.2,Rovaniemi
2015-03-11,0.1,-15.2,27.3,Rovaniemi
2015-03-12,0.0,-17.7,27.3,Rovaniemi
2015-03-13,0.0,-14.1,27.3,Rovaniemi
2015-03-14,1.3,-16.9,28.2,Rovaniemi
2015-03-15,0.0,-13.3,28.2,Rovaniemi
